domain,founding_year,country,city,funding_stage,total_funding_usd_millions,valuation_usd_millions,revenue_arr_millions,monthly_burn_rate_millions,runway_months_2024,peak_headcount_2023,layoffs_2024_2025,current_headcount_2026,investor_tier,ai_adoption_level,acquisition_status,founding_year_age,total_funding_usd_millions_log1p,valuation_usd_millions_log1p,revenue_arr_millions_log1p,funding_per_employee,valuation_to_revenue,layoff_rate
HealthTech,2014,Israel,Tel Aviv,Series B,159.18,1637.57,59.9,8.19,19.2,628,0,628,Tier 3 (Angel/Seed),Medium,Independent,12,5.0762981828955365,7.4015791892281415,4.109233174715851,0.2534713375796179,27.33839732888147,0.0
ClimateTech,2025,India,Mumbai,Seed,3.46,41.5,7.18,0.5,5.8,41,17,24,"Tier 1 (e.g. Sequoia, a16z)",,Independent,1,1.4951487660319727,3.7495040759303713,2.1016921506146558,0.14416666666666667,5.779944289693594,0.4146341463414634
Robotics,2022,USA,San Francisco,Post-IPO,209.86,1098.13,48.57,9.56,21.7,821,257,564,Tier 2 (Mid-size VC),Low,IPO,4,5.351194406148804,7.002274236761946,3.9033858120324827,0.3720921985815603,22.609223800700022,0.31303288672350793
EdTech,2019,USA,New York,Seed,0.95,9.42,0.47,0.36,2.1,19,0,19,Tier 3 (Angel/Seed),Medium,Independent,7,0.6678293725756554,2.343727036325221,0.3852624007906449,0.049999999999999996,20.04255319148936,0.0
HealthTech,2016,USA,Miami,Series A,0.0,18.34,0.82,0.84,0.0,44,18,26,Bootstrapped,Medium,Acquired,10,0.0,2.9621754900251482,0.598836501088704,0.0,22.365853658536587,0.4090909090909091
Generative AI,2013,USA,Miami,Series A,15.45,156.33,7.75,1.09,13.0,70,0,70,Tier 2 (Mid-size VC),Low,Closed,13,2.800325477211381,5.058345510252332,2.169053700369523,0.2207142857142857,20.171612903225807,0.0
Generative AI,2021,Singapore,Singapore,Series A,42.94,288.87,29.14,3.88,10.8,199,0,199,Tier 3 (Angel/Seed),Low,Independent,5,3.7828250669564643,5.669432546612789,3.4058531931983493,0.2157788944723618,9.913177762525738,0.0
Web3/Crypto,2019,China,Shenzhen,Pre-IPO,151.82,881.5,66.6,11.8,12.8,666,252,414,Tier 3 (Angel/Seed),Low,Independent,7,5.02926075821942,6.782758788807452,4.213607983048918,0.36671497584541063,13.235735735735737,0.3783783783783784
FinTech,2022,Japan,Tokyo,Series B,19.69,208.89,18.93,1.23,14.8,72,0,72,Tier 3 (Angel/Seed),High,Independent,4,3.029650491757452,5.346583583957525,2.9922261342247034,0.2734722222222222,11.034865293185419,0.0
Web3/Crypto,2021,USA,Miami,Series A,4.09,22.69,0.86,0.5,6.8,41,36,5,Tier 3 (Angel/Seed),High,Acquired (Fire Sale),5,1.6272778305624314,3.165053018170694,0.6205764877251099,0.818,26.38372093023256,0.8780487804878049
HealthTech,2019,USA,San Francisco,Seed,24.6,248.97,16.12,1.41,16.3,129,41,88,"Tier 1 (e.g. Sequoia, a16z)",Low,Independent,7,3.242592351485517,5.52134091066167,2.840247370713596,0.27954545454545454,15.444789081885855,0.3178294573643411
HealthTech,2019,Germany,Berlin,Pre-IPO,62.09,468.62,27.62,3.86,15.7,293,0,293,Tier 2 (Mid-size VC),High,Acquired,7,4.144562278382718,6.151923857044801,3.3541057741283047,0.21191126279863481,16.96669080376539,0.0
FinTech,2015,Canada,Montreal,Seed,1.22,28.57,1.07,0.18,4.4,18,10,8,Tier 3 (Angel/Seed),,Closed,11,0.7975071958841881,3.3867603338643857,0.7275486072772778,0.1525,26.700934579439252,0.5555555555555556
Generative AI,2024,China,Hangzhou,Seed,2.59,26.54,0.99,0.62,3.6,34,0,34,Tier 3 (Angel/Seed),High,Independent,2,1.2781522025001875,3.315639493300509,0.688134638736401,0.07617647058823529,26.808080808080806,0.0
Web3/Crypto,2022,India,Delhi NCR,Series B,28.77,130.7,4.74,1.04,25.2,101,42,59,Tier 2 (Mid-size VC),Medium,Independent,4,3.393501175027685,4.880526608749236,1.747459210331475,0.48762711864406777,27.573839662447252,0.4158415841584158
Generative AI,2021,USA,Seattle,Seed,0.67,12.54,0.48,0.29,1.7,16,5,11,Corporate VC (e.g. Google Ventures),High,Acquired,5,0.5128236264286639,2.605648267484129,0.3920420877760237,0.06090909090909091,26.125,0.3125
Generative AI,2018,USA,Miami,Seed,1.6,23.9,1.36,0.86,1.7,49,0,49,Tier 2 (Mid-size VC),High,Independent,8,0.9555114450274363,3.214867803470662,0.8586616190375187,0.0326530612244898,17.573529411764703,0.0
FinTech,2020,India,Delhi NCR,Series C+,18.18,168.24,10.15,0.93,17.7,51,17,34,Corporate VC (e.g. Google Ventures),High,Independent,6,2.953868069455292,5.131317825851867,2.411439497906128,0.5347058823529411,16.57536945812808,0.3333333333333333
Cybersecurity,2021,Germany,Munich,Series C+,96.7,593.22,31.78,9.85,9.7,552,211,341,"Tier 1 (e.g. Sequoia, a16z)",Medium,Acquired,5,4.581901559048737,6.38724962116284,3.4898185733156835,0.28357771260997067,18.666456891126494,0.3822463768115942
HealthTech,2020,USA,Seattle,Series A,15.08,94.27,4.48,0.91,14.9,48,13,35,Tier 2 (Mid-size VC),High,Independent,6,2.77757626375082,4.556714965718688,1.7011051009599243,0.4308571428571429,21.04241071428571,0.2708333333333333
EdTech,2021,USA,New York,Seed,1.66,34.52,1.95,0.32,4.0,19,5,14,Tier 2 (Mid-size VC),Medium,Independent,5,0.9783261227936076,3.5700959181239695,1.0818051703517284,0.11857142857142856,17.702564102564104,0.2631578947368421
ClimateTech,2022,Germany,Berlin,Series A,6.37,62.15,4.84,0.43,12.0,25,12,13,Tier 2 (Mid-size VC),Medium,Acquired,4,1.9974177062012453,4.1455128487965,1.7647307968401356,0.49,12.840909090909092,0.48
Web3/Crypto,2019,UK,London,Seed,2.41,30.81,1.6,0.82,2.6,49,40,9,"Tier 1 (e.g. Sequoia, a16z)",Medium,Closed,7,1.2267122912954254,3.4597807057610526,0.9555114450274363,0.2677777777777778,19.256249999999998,0.8163265306122449
Autonomous Vehicles,2021,USA,Austin,Series C+,64.97,247.5,11.21,3.81,16.6,299,0,299,Corporate VC (e.g. Google Ventures),Low,Closed,5,4.1892000932347795,5.5154428455366835,2.502255288122613,0.21729096989966554,22.078501338090987,0.0
ClimateTech,2014,Israel,Tel Aviv,Seed,2.74,29.37,1.08,0.41,5.4,22,9,13,Tier 3 (Angel/Seed),High,Independent,12,1.3190856114264407,3.4134552790576573,0.7323678937132266,0.2107692307692308,27.194444444444443,0.4090909090909091
Cybersecurity,2016,Germany,Berlin,Post-IPO,171.9,1712.9,128.15,8.74,19.4,549,0,549,Corporate VC (e.g. Google Ventures),Medium,Acquired,10,5.152713392689245,7.446526754398526,4.860974519541849,0.31311475409836065,13.366367538041358,0.0
HealthTech,2023,USA,Seattle,Pre-IPO,223.38,1187.74,44.24,6.57,33.5,437,0,437,Tier 2 (Mid-size VC),,Independent,3,5.4133410431168185,7.080649201626531,3.81198165124792,0.5111670480549199,26.84764918625678,0.0
Web3/Crypto,2015,Germany,Berlin,Seed,4.07,50.28,3.7,0.19,14.0,11,6,5,Tier 2 (Mid-size VC),,Closed,11,1.623340817603092,3.9373008126124147,1.547562508716013,0.8140000000000001,13.589189189189188,0.5454545454545454
Robotics,2021,India,Bengaluru,Seed,1.46,25.81,1.96,0.16,5.6,16,0,16,Tier 2 (Mid-size VC),Medium,Independent,5,0.9001613499442714,3.2887749522478678,1.085189268335969,0.09125,13.168367346938775,0.0
Autonomous Vehicles,2020,USA,New York,Series A,1.68,21.56,1.12,0.16,6.5,9,0,9,Corporate VC (e.g. Google Ventures),Medium,Closed,6,0.9858167945227653,3.1161784266298582,0.7514160886839212,0.18666666666666665,19.249999999999996,0.0
HealthTech,2022,Israel,Tel Aviv,Series B,9.87,121.94,6.82,0.19,34.0,17,0,17,"Tier 1 (e.g. Sequoia, a16z)",Medium,Independent,4,2.386006701133118,4.811696431478864,2.05668455455722,0.5805882352941176,17.879765395894427,0.0
ClimateTech,2018,India,Bengaluru,Seed,2.11,18.77,2.13,0.85,2.2,52,0,52,Tier 3 (Angel/Seed),High,Closed,8,1.1346227261911428,2.9841656371825254,1.1410330045520618,0.04057692307692307,8.812206572769954,0.0
Cybersecurity,2021,Germany,Munich,Seed,1.4,21.73,0.83,0.24,4.1,22,6,16,Corporate VC (e.g. Google Ventures),High,IPO,5,0.8754687373538999,3.123685637864452,0.6043159668533294,0.0875,26.180722891566266,0.2727272727272727
Robotics,2022,Canada,Montreal,Series A,6.62,44.31,1.61,0.7,8.3,48,0,48,Tier 2 (Mid-size VC),,Independent,4,2.030776369698555,3.813527758679047,0.959350221334602,0.13791666666666666,27.52173913043478,0.0
Generative AI,2018,USA,Boston,Seed,4.98,67.57,2.33,0.51,8.2,34,0,34,Tier 2 (Mid-size VC),Medium,Independent,8,1.7884205679625405,4.227855121296273,1.2029723039923526,0.14647058823529413,28.999999999999996,0.0
Generative AI,2018,USA,Miami,Series B,42.14,349.58,17.02,1.86,21.5,96,0,96,Tier 3 (Angel/Seed),High,Independent,8,3.76445064096101,5.859588925794401,2.8914822521801917,0.43895833333333334,20.53936545240893,0.0
EdTech,2020,UK,Oxford,Seed,0.49,21.28,1.7,0.41,1.0,27,17,10,Tier 3 (Angel/Seed),Medium,Closed,6,0.3987761199573678,3.1036894150590832,0.9932517730102833,0.049,12.517647058823531,0.6296296296296297
Robotics,2014,China,Shenzhen,Series B,25.4,151.51,11.72,2.38,10.2,177,90,87,Tier 3 (Angel/Seed),High,Closed,12,3.2733640101522705,5.027230167668092,2.543175557911976,0.29195402298850576,12.927474402730374,0.5084745762711864
EdTech,2018,USA,Miami,Seed,1.14,27.27,3.29,0.46,2.0,39,0,39,Tier 2 (Mid-size VC),Medium,Independent,8,0.76080582903376,3.341801171705499,1.4562867329399256,0.029230769230769227,8.288753799392097,0.0
SpaceTech,2020,Germany,Berlin,Series A,8.03,51.28,4.26,0.84,8.5,50,0,50,Tier 3 (Angel/Seed),High,Independent,6,2.200552367428894,3.956613888756021,1.6601310267496185,0.1606,12.03755868544601,0.0
EdTech,2023,USA,Miami,Series B,114.77,904.64,31.64,3.84,29.1,207,0,207,Tier 2 (Mid-size VC),Medium,Independent,3,4.751605464217637,6.808641876084778,3.4855385300959063,0.5544444444444444,28.59165613147914,0.0
